id,question_type,question_corps,qcm_a,qcm_b,qcm_c,qcm_d,qcm_answer,answer,true_false,difficulty,open_player,true_false_additional,tags
000001,open,Who defeated Venus Williams in SF at Indian Wells 2018 ?,,,,,,Daria Kasatkina,,4,True,,"Indian-Wells,Venus Williams, Daria Kasatkina,USA, Russia, WTA,Master1000"
000002,qcm,Which WTA player won her first two WTA1000 titles in a row in 2025 ?,Amanda Anisimova, Mirra Andreeva, Iva Jovic, Diana Shnaider,b,,,1,,,"WTA, Mirra Andreeva, Amanda Anisimova, Iva Jovic, Diana Shnaider, Master1000, Russia, USA, Indian-Wells, Dubai, Saudi Arabia"
000003,tf,Novak Djokovic's first title was in the Netherlands.,,,,,,,True,3,,"He won his first title in Amersfoort, 2006","ATP, Netherlands, Serbia, Novak Djokovic, ATP250, Big Three"
000004,qcm,Select the correct spelling for...,Botic Van de Zandschulp,Botic Van de Zandschlup, Botic van de Zandschlups, Botic van de Zandschulps,a,,,3,,,"ATP, Netherlands, Botic van de Zandschulp, spelling"
000005,open,"Apart from Kosovo and micronations, which european country is the only one that never got represented by any ATP player ?",,,,,,Albania,,3,False,,"Albania, Balkans, Country, ATP"
000006,open,Which city traditionnaly hosts the last WTA 125 of the season ?,,,,,,Limoges,,4,False,,"France, WTA, WTA125, Tournament"
000007,tf,Longest clay match ever recorded was between Guillermo Coria and Juan Carlos Ferrero at RG 2004.,,,,,,,False,1,,"Santoro vs Clément, RG 2004, in 6h33","Argentina, Spain, Roland-Garros, Grand Slam, record"
000008,qcm,Which tournament did Victor Estrella Burgos win 3 times in a row being 36 years old ?,Hamburg, Santo Domingo, Quito, Santiago,c,,,2,,,"Dominican Republic, South America, Caribbean, Victor Estrella Burgos,Ecuador, Germany, Chile, ATP, ATP250"
000009,open,Which french player is famously known for having an extremely low racket tension ?,,,,,,Adrian Mannarino,,2,True,,"France, Adrian Mannarino, Equipment"
000010,qcm,Which of these players did not defeat Rafael Nadal at Wimbledon ?,Dustin Brown, Nick Kyrgios, Gilles Muller, Bernard Tomic,d,,,1,,,"Spain, Wimbledon, Grand Slam"
000011,open,With whom did Elise Mertens win most of her major titles ?,,,,,,Veronika Kudermetova,,3,True,,"Belgium, Russia, Elise Mertens, doubles"
000012,open,In which small town is actually played the Angers Open ?,,,,,,Trélazé,,4,False,,"France,WTA,WTA125"
000013,open,Which country located in Central Asia has been represented by ATP players but never by WTA players ?,,,,,,Tajikistan,,3,False,,"Central Asia,Tajikistan,WTA,ATP"
000014,qcm,"For which country located in Central Asia did three russian WTA players changed their nationality during 2026 pre-season, instantly becoming highest-ranked players of the nation ?",Kazakhstan, Uzbekistan,Kyrgyzstan,Turkmenistan,b,,,2,,,"Central Asia, WTA, migration"
000015,open,Which country was Carole Monnet born in (Hint: not France)?,,,,,,Ukraine,,4,False,,"France, migration,WTA"
000016,tf,More than two WTA players ranked n°1 were born in Moscow.,,,,,,,False,2,,"Dinara Safina is the only one.","Russia,WTA, ranking"
000017,qcm,"Which player along Wawrinka, Kyrgios and Vekic was implicated in a gate in 2015",Thanasi Kokkinakis,Bernard Tomic,Ivan Dodig,Benoit Paire,a,,,1,,,"extra-tennis, Croatia, Australia, Switzerland"
000018,open,Who did Aryna Sabalenka won the 2025 Brisbane Open against ?,,,,,,Polina Kudermetova,,3,True,,"Belarus, WTA, title"
000019,open,Which country did Aljaz Bedene briefly represented between 2015 and 2017 ?,,,,,,United Kingdom,,2,False,,"Slovenia, Balkans,Aljaz Bedene, ATP, migration"
000020,qcm,What does 'SABR' stands for ?,Sneak Attack By Roger, Strategic Aggressive Backhand Return,Spin-Adjusted Backhand Return,Speed And Balance Recovery,a,,,1,,,"terminology"
000021,open,What is Stefanos Tsitsipas' brother first name ?,,,,,,Petros,,2,False,,"Greece, Stefanos Tsitsipas,ATP"
000022,open,Who was the first ever ATP Next Gen runner-up ?,,,,,,Andrey Rublev,,2,True,,"ATP"
000023,open,Who was the first ever ATP Next Gen winner ?,,,,,,Hyeon Chung,,2,True,,"ATP"
000024,open,Who did Novak Djokovic lost a set against at the Australian Open 2021 ?,,,,,,Enzo Couacaud,,3,True,,"ATP, Novak Djokovic,Australian Open, Grand Slam, Serbia, Balkans,BigThree"
000025,tf,Pedro Sousa and Joao Sousa are related.,,,,,,,False,2,,"","ATP, Portugal,Joao Sousa, Pedro Sousa"
000026,open,Which city hosts the ATP tournament known as the Queen's Club Championships ?,,,,,,London,,1,False,,"UK,Queen's Club,grass,ATP500"
000027,qcm,Which surface is the Madrid Open played on ?,Clay,Hard,Grass,Carpet,a,,,1,,,"Madrid,Spain,Madrid Open,ATP,WTA,Clay"
000028,tf,The Tokyo Open is played on hard courts.,,,,,,,True,1,,"","Japan,ATP,hard,Tokyo"
000029,open,What is Roger Federer's birthplace city ?,,,,,,Basel,,1,False,,"Switzerland,Roger Federer,Basel,birthplace"
000032,tf,The Hopman Cup is an ATP event.,,,,,,,False,2,,"It is organized by the ITF.","Hopman Cup,mixed teams,exhibition"
000035,tf,The ATP tournament in Halle is played on indoor hard courts.,,,,,,,False,1,,"It is played on grass.","Halle,Germany,grass,ATP500"
000036,qcm,Which tournament is nicknamed 'Sunshine Double' when a player wins both in the same year ?,Indian Wells and Miami,Monte Carlo and Barcelona,Acapulco and Rio,Doha and Dubai,a,,,1,,,"Indian Wells,Miami,Sunshine Double,ATP,WTA"
000038,qcm,Which country is home to the ATP event in Auckland ?,New Zealand,Australia,South Africa,Fiji,a,,,1,,,"Auckland,New Zealand,ATP250"
000039,tf,Kei Nishikori was born in Osaka prefecture.,,,,,,,False,2,,"He was born in Matsue, Shimane Prefecture","Japan,Kei Nishikori,birthplace"
000040,open,Which country hosts the ATP tournament in Kitzbühel ?,,,,,,Austria,,2,False,,"Kitzbühel,Austria,ATP,clay"
000042,open,Which city did Ekaterina Alexandrova win her first WTA500 title in ?,,,,,,Linz,,3,,,"Austria,Linz,WTA,indoor, Russia"
000044,qcm,Which of these players is from Argentina ?,David Ferrer,Guido Pella,Pablo Cuevas,Luis Horna,b,,,1,,,"Argentina,Guido Pella,ATP"
000045,open,"Which country is the island of Mallorca, Nadal's birthplace region, part of ?",,,,,,Spain,,1,False,,"Spain,Majorca,Manacor,Rafael Nadal"
000046,qcm,Which tournament is played on grass and serves as a Wimbledon warm-up in London ?,Queen's Club Championships,Queen's Park Classic,London Grass Open,All-England Warmup,a,,,2,,,"Queen's Club,London,grass,Wimbledon"
000047,tf,The ATP250 event in Newport is notable for being played on grass at the Hall of Fame site.,,,,,,,True,1,,"","Newport,Hall of Fame,grass,ATP250"
000055,qcm,Which player is from Slovakia ?,Dalibor Svrcina,Martin Kližan,Dusan Lajovic,Luka Mikrut,b,,,2,,,"Slovakia,Martin Kližan,ATP"
000056,open,Which indoor European city hosts the ATP tournament known as the Swiss Indoors ?,,,,,,Basel,,2,False,,"Basel,Swiss Indoors,ATP500,Switzerland"
000057,tf,The Cordoba Open is played on clay courts in Argentina.,,,,,,,True,2,,"","Cordoba Open,Argentina,clay,ATP"
000061,qcm,Which player is a left-hander ?,Guillermo Coria,Juan Manuel Cerundolo,Federico Coria,Francisco Cerundolo,b,,,1,,,"left-hander,Rafael Nadal,Spain"
000062,open,Which city traditionally stages the ATP tournament called the Sweden Open ?,,,,,,Båstad,,3,False,,"Sweden,Båstad,ATP,clay"
000075,tf,The ATP Cup is a national team event introduced in 2019.,,,,,,,False,2,,"First edition took place in 2020","ATP Cup,national teams"
000076,qcm,Which of these tournaments is hosted in Canada on the ATP Tour ?,Rogers Cup,Nordic Open,Canadian Classic,Montreal Open,a,,,1,,,"Canada,Rogers Cup,Montreal/Toronto,Masters1000"
000077,open,Which small Spanish island city is Rafael Nadal's hometown ?,,,,,,Manacor,,1,False,,"Spain,Majorca,Rafael Nadal,Manacor, ATP"
000080,open,Which country does Johanna Garland come from ?,,,,,,Taïwan,,2,False,,"Taïwan, South east Asia, WTA"
000085,qcm,Which of these players has won an Olympic singles gold medal ?,Andy Murray,James Blake,Marat Safin,Juan Martín del Potro,a,,,2,,,"Olympics,Andy Murray,gold"
000093,tf,The Antalya Open is a clay-court tournament in Turkey.,,,,,,,False,2,,"It is played on grass","Antalya,Turkey,ATP"
000094,qcm,Which tournament is played at Flushing Meadows ?,US Open,Australian Open,French Open,Wimbledon,a,,,1,,,"US Open,Flushing Meadows,New York,Grand Slam"
000097,qcm,Which of these players comes from Russia ?,Polina Iatcenko,Vera Lapko,Katie Volynets,Sofia Kenin,a,,,2,,,"Russia,Daria Kasatkina,WTA"
000098,open,Which country hosts the tournament in Umag on the ATP Tour ?,,,,,,Croatia,,2,False,,"Umag,Croatia,ATP,clay"
000100,qcm,Which of these events is a WTA 125 tournament example ?,Florianopolis Open,Iasi Open,Eastbourne Open,Monterrey Open,a,,,3,,,"WTA, WTA125"
000102,tf,Nick Kyrgios has defeated Rafael Nadal at Wimbledon.,,,,,,,True,1,,,"In 2014","Nick Kyrgios,Wimbledon,defeated Nadal"
000103,qcm,Which tournament is held in Doha on the ATP calendar ?,Qatar Open,Doha Classic,Desert Open,Doha Championship,a,,,2,,,"Doha,Qatar,ATP,hard"
000104,open,Which Japanese player reached the 2014 US Open men's singles final ?,,,,,,Kei Nishikori,,2,True,,"Japan,Kei Nishikori,Grand Slam"
000107,open,Which Eastern European country is the birthplace of Ilie Năstase ?,,,,,,Romania,,2,False,,"Romania,Ilie Năstase,birthplace"
000110,open,Which player may be considered as the best south-african tennis player of the 1990's?,,,,,,Wayne Ferreira,,4,True,,"South Africa,Wayne Ferreira,doubles,serve"
000115,qcm,Which of the following players is known primarily for doubles success ?,Bob Bryan,Roger Federer,Rafael Nadal,Nick Kyrgios,a,,,2,,,"doubles,Bob Bryan,ATP"
000117,tf,The Queen's Club Championships has been held since the late 19th century.,,,,,,,True,2,,"","Queen's Club,history,Victorian era"
000122,open,Which French city hosts the Open 13 ATP tournament ?,,,,,,Marseille,,3,False,,"France,Marseille,Open 13,ATP"
000126,open,Against which player did Novak Djokovic lose a match after leading 2 sets to 0 ?,,,,,,Jurgen Melzer,,2,True,,"Novak Djokovic, Balkans,Serbia,Roland Garros,clay,Grand Slam"
000127,qcm,Which coach is best known for a long collaboration with Novak Djokovic?,Marian Vajda,Andre Agassi,Paul Annacone,Nick Bolletieri,a,,,1,,,"Novak Djokovic,Marian Vajda,coach,Serbia,Big Three"
000128,qcm,Which clay color has never existed ?,Red,Blue,Green,Purple,d,,,1,,,"surface,ATP,WTA"
000129,qcm,Which chinese player defeated Ostapenko and Noskova at the 2026 Australian Open ?,Xinyu Wang,Xuo Wang, Yafan Wang,Qiang Wang,a,,,4,,,"Grand Slam, Australian Open,China,WTA"
000130,open,Which russian player holds a PHD in philosophy ?,,,,,,Mikhail Youzhny,,3,True,,"Russia"
000131,open,Which russian player withdrew after hitting his head eleven times with his racket ?,,,,,,Mikhail Youzhny,,1,True,,"Russia, ATP"
000132,open,"Which country does Potapova who was born in Russia, married a Kazakhstanese and currently engaged with a dutch plays for ?",,,,,,Austria,,2,False,,"WTA"
000133,qcm,Which kazakhstanese player won a golden set in Wimbledon ?,Elena Rybakina, Yulia Putintseva, Yaroslava Shvedova,Zarina Diyas,c,,,2,,,"Grand Slam, Wimbledon, WTA, Grass, Kazakhstan"
000134,qcm,Which of these kazakhstanese players was actually born in Kazakhstan ?,Elena Rybakina, Yulia Putintseva, Yaroslava Shvedova,Zarina Diyas,d,,,2,,,"WTA, Kazakhstan"
000135,open,Which french player lost all of his 12 ATP finals in career ?,,,,,,Julien Benneteau,,3,True,,"France"
000136,qcm,Which of these WTA players is known for her sliced backhand ?,Tatjana Maria,Daria Kasatkina,Julia Grabher,Taia Gibson,a,,,2,,,"WTA"
000137,open,What city was Simona Halep born in ?,,,,,,Constanta,,4,False,,"Romania, city, Simona Halep,birthplace"
000138,open,What city was Maria Sharapova born in ?,,,,,,Nagan,,4,False,,"Russia, Maria Sharapova,birthplace"
000139,tf,Aryna Sabalenka and Victoria Azarenka were born in the same city: Minsk.,,,,,,,True,2,,"","Belarus,birthplace"
000140,tf,Federico and Horacio Zeballos are related,,,,,,,False,1,,"Not even the same country!","South America,ATP"
000141,open,What is the first name of Hugo Dellien's brother ?,,,,,,Murkel,,4,False,,"South America, ATP"
000142,open,Which ukrainian player decided to fight against Russia in 2022 ?,,,,,,Serhiy Stakhovsky,,2,True,,"Ukraine,ATP"
000143,open,Which estonian lucky-loser reached Roland-Garros third round in 2018 ?,,,,,,Jurgen Zopp,,4,True,,"Estonia,Grand Slam,Roland-Garros"
000144,tf,Mischa Zverev was born in Germany from a soviet-descent family.,,,,,,,False,2,,"He was actually born in Moscow, Soviet Union","Germany, Mischa Zverev, birthplace"
000145,tf,Elena Vesnina is a russian-born player.,,,,,,,False,2,,"She was actually born in Lviv, Soviet Union, now in Ukraine","Russia, Elena Vesnina,birthplace"
000146,open,"Daria Kasatkina, Anastasia Pavlyuchenkova and Diana Shnaider were born in the same oblast. Which one ?",,,,,,Samara,,4,False,,"Russia, birthplace"
000147,open,Which french player defeated Kevin Anderson in the R1 of RG 2015 ?,,,,,,Stéphane Robert,,4,True,,"France, South Africa, Grand Slam, Roland Garros"
000148,open,Who holds the record of most titles in challenger ?,,,,,,Dudi Sela,,3,True,,"Challenger, ATP, record"
000149,open,"During the 2017 Davis Cup final, who lost the final match ?",,,,,,Steve Darcis,,3,True,,"Davis Cup,Belgium, France"
000150,open,Who holds the record for most aces in a two-winning sets matchs ?,,,,,,Milos Raonic,,2,True,,"record, ATP"
000151,qcm,Which of these players won a M1000 ?,Milos Raonic,Tomas Berdych,Richard Gasquet,Kei Nishikori,b,,,2,,,"Master1000, ATP"
000152,open,"During the 2014 Davis Cup final, who was supposed to replace Roger Federer in case of injury ?",,,,,, Marco Chiudinelli,,4,True,,"Switzerland, France, ATP, Davis Cup"
000166,open,"Who is credited with the fastest recorded tennis serve (263 km/h at Busan Challenger)?",,,,,,Sam Groth,,2,,,"record,fastest serve,Groth,Guinness"
