id,question_type,question_corps,qcm_a,qcm_b,qcm_c,qcm_d,qcm_answer,answer,true_false,difficulty,tags
000001,open,Who defeated Venus Williams in SF at Indian Wells 2018 ?,,,,,,Daria Kasatkina,,4,"Indian-Wells,Venus Williams, Daria Kasatkina,USA, Russia, WTA,Master1000"
000002,qcm,Which WTA player won her first two WTA1000 titles in a row in 2025 ?,Amanda Anisimova, Mirra Andreeva, Iva Jovic, Diana Shnaider,b,,,1,"WTA, Mirra Andreeva, Amanda Anisimova, Iva Jovic, Diana Shnaider, Master1000, Russia, USA, Indian-Wells, Dubai, Saudi Arabia"
000003,tf,Novak Djokovic's first title was in the Netherlands.,,,,,,,True,3,"ATP, Netherlands, Serbia, Novak Djokovic, ATP250, Big Three"
000004,qcm,Select the correct spelling for...,Botic Van de Zandschulp,Botic Van de Zandschlup, Botic van de Zandschlups, Botic van de Zandschulps,a,,,3,"ATP, Netherlands, Botic van de Zandschulp, spelling"
000005,open,"Apart from Kosovo and micronations, which european country is the only one that never got represented by any ATP player ?",,,,,,Albania,,3,"Albania, Balkans, Country, ATP"
000006,open,Which city traditionnaly hosts the last WTA 125 of the season ?,,,,,,Limoges,,4,"France, WTA, WTA125, Tournament"
000007,tf,Longest clay match ever recorded was between Guillermo Coria and Juan Carlos Ferrero at RG 2004.,,,,,,,False,1,"Argentina, Spain, Roland-Garros, Grand Slam, record"
000008,qcm,Which tournament did Victor Estrella Burgos win 3 times in a row being 36 years old ?,Hamburg, Santo Domingo, Quito, Santiago,c,,,2,"Dominican Republic, South America, Caribbean, Victor Estrella Burgos,Ecuador, Germany, Chile, ATP, ATP250"
000009,open,Which french player is famously known for having an extremely low racket tension ?,,,,,,Adrian Mannarino,,2,"France, Adrian Mannarino, Equipment"
000010,qcm,Which of these players did not defeat Rafael Nadal at Wimbledon ?,Dustin Brown, Nick Kyrgios, Gilles Muller, Lukas Rosol,d,,,1,"Spain, Wimbledon, Grand Slam"
000011,open,With whom did Elise Mertens win most of her major titles ?,,,,,,Veronika Kudermetova,,3,"Belgium, Russia, Elise Mertens, doubles"
000012,open,In which small town is actually played the Angers Open ?,,,,,,Trélazé,,4,"France,WTA,WTA125"
000013,open,Which country located in Central Asia has been represented by ATP players but never by WTA players ?,,,,,,Tajikistan,,3,"Central Asia,Tajikistan,WTA,ATP"
000014,qcm,"For which country located in Central Asia did three russian WTA players changed their nationality during 2026 pre-season, instantly becoming highest-ranked players of the nation ?",Kazakhstan, Uzbekistan,Kyrgyzstan,Turkmenistan,b,,,2,"Central Asia, WTA, migration"
000015,open,Which country was Carole Monnet born in ?,,,,,,Ukraine,,4,"France, migration,WTA"
000016,tf,More than two WTA players ranked n°1 were born in Moscow.,,,,,,,False,2,"Russia,WTA, ranking"
000017,qcm,"Which player along Wawrinka, Kyrgios and Vekic was implicated in a gate in 2015",Thanasi Kokkinakis,Bernard Tomic,Ivan Dodig,Benoit Paire,a,,,1,"extra-tennis, Croatia, Australia, Switzerland"
000018,open,Who did Aryna Sabalenka won the 2025 Brisbane Open against ?,,,,,,Polina Kudermetova,,3,"Belarus, WTA, title"
000019,open,Which country did Aljaz Bedene briefly represented between 2015 and 2017 ?,,,,,,United Kingdom,,2,"Slovenia, Balkans,Aljaz Bedene, ATP, migration"
000020,qcm,What does 'SABR' stands for ?,Sneak Attack By Roger, Strategic Aggressive Backhand Return,Spin-Adjusted Backhand Return,Speed And Balance Recovery,a,,,1,"terminology"
000021,open,What is Stefanos Tsitsipas' brother first name ?,,,,,,Petros,,2,"Greece, Stefanos Tsitsipas,ATP"
000022,open,Who was the first ever ATP Next Gen runner-up ?,,,,,,Andrey Rublev,,2,"ATP"
000023,open,Who was the first ever ATP Next Gen winner ?,,,,,,Hyeon Chung,,2,"ATP"
000024,open,Who did Novak Djokovic lost a set against at the Australian Open 2021 ?,,,,,,Enzo Couacaud,,3,"ATP, Novak Djokovic,Australian Open, Grand Slam, Serbia, Balkans,BigThree"
000025,tf,Pedro Sousa and Joao Sousa are related.,,,,,,,False,2,"ATP, Portugal,Joao Sousa, Pedro Sousa"
000026,open,Which city hosts the ATP tournament known as the Queen's Club Championships ?,,,,,,London,,1,"UK,Queen's Club,grass,ATP500"
000027,qcm,Which surface is the Madrid Open played on ?,Clay,Hard,Grass,Carpet,a,,,1,"Madrid,Spain,Madrid Open,ATP,WTA,Clay"
000028,tf,The Tokyo Open is played on hard courts.,,,,,,,True,1,"Japan,ATP,hard,Tokyo"
000029,open,What is Roger Federer's birthplace city ?,,,,,,Basel,,1,"Switzerland,Roger Federer,Basel,birthplace"
000032,tf,The Hopman Cup is an ATP event.,,,,,,,False,2,"Hopman Cup,mixed teams,exhibition"
000033,qcm,Which city traditionally hosts the year-end WTA Finals when held in the Czech Republic ?,Prague,Brno,Bratislava,Ostrava,a,,,3,"WTA Finals,Czech Republic,Prague,year-end"
000034,open,Which player is known for using an extremely flat two-handed backhand and was born in Split, Croatia ?,,,,,,Goran Ivanišević,,3,"Croatia,Goran Ivanišević,backhand,Split"
000035,tf,The ATP tournament in Halle is played on indoor hard courts.,,,,,,,False,2,"Halle,Germany,grass,ATP500"
000036,qcm,Which tournament is nicknamed 'Sunshine Double' when a player wins both in the same year ?,Indian Wells and Miami,Monte Carlo and Barcelona,Acapulco and Rio,Doha and Dubai,a,,,2,"Indian Wells,Miami,Sunshine Double,ATP,WTA"
000038,qcm,Which country is home to the ATP event in Auckland ?,New Zealand,Australia,South Africa,Fiji,a,,,1,"Auckland,New Zealand,ATP250"
000039,tf,Kei Nishikori was born in Osaka prefecture.,,,,,,,True,2,"Japan,Kei Nishikori,birthplace"
000040,open,Which country hosts the ATP tournament in Kitzbühel ?,,,,,,Austria,,2,"Kitzbühel,Austria,ATP,clay"
000042,open,Which city did Ekaterina Alexandrova win her first WTA500 title in ?,,,,,,Linz,,3,"Austria,Linz,WTA,indoor, Russia"
000044,qcm,Which of these players is from Argentina ?,David Ferrer,Guido Pella,Pablo Cuevas,Luis Horna,b,,,1,"Argentina,Guido Pella,ATP"
000045,open,"Which country is the island of Mallorca, Nadal's birthplace region, part of ?",,,,,,Spain,,1,"Spain,Majorca,Manacor,Rafael Nadal"
000046,qcm,Which tournament is played on grass and serves as a Wimbledon warm-up in London ?,Queen's Club Championships,Queen's Park Classic,London Grass Open,All-England Warmup,a,,,2,"Queen's Club,London,grass,Wimbledon"
000047,tf,The ATP250 event in Newport is notable for being played on grass at the Hall of Fame site.,,,,,,,True,2,"Newport,Hall of Fame,grass,ATP250"
000051,tf,"The 'Big Three' in men's tennis refers to Federer, Nadal, Djokovic and Murray.",,,,,,,True,1,"Big Three,Federer,Nadal,Djokovic"
000053,open,Which Czech player won the 2019 Adelaide International men's singles event ?,,,,,,Andrej Martin,,4,"Adelaide,ATP,2019,Czech Republic"
000055,qcm,Which player is from Slovakia ?,Dalibor Svrcina,Martin Kližan,Dusan Lajovic,Luka Mikrut,b,,,2,"Slovakia,Martin Kližan,ATP"
000056,open,Which indoor European city hosts the ATP tournament known as the Swiss Indoors ?,,,,,,Basel,,2,"Basel,Swiss Indoors,ATP500,Switzerland"
000057,tf,The Cordoba Open is played on clay courts in Argentina.,,,,,,,True,2,"Cordoba Open,Argentina,clay,ATP"
